Month,Channel,Activity,Budget_Planned,Budget_Actual,Leads,Demos_Booked,Proposals,Conversions,CPL,Demo_to_Conversion_Percent,Notes
Month_1,Meta_Ads,Awareness_Ads,,,,,,,,
Month_1,Google_Search,High_Intent_Keywords,,,,,,,,
Month_1,LinkedIn,Outbound_and_Content,,,,,,,,
Month_1,Email,Cold_and_Nurture,,,,,,,,
Month_1,WhatsApp,Opt_in_Nurture,,,,,,,,
Month_1,Physical_Print,Brochures_Pamphlets_Posters,,,,,,,,
Month_1,Events,Webinar_or_Roundtable,,,,,,,,
Month_2,Meta_Ads,Retargeting,,,,,,,,
Month_2,Google_Search,Demo_Intent_Keywords,,,,,,,,
Month_2,LinkedIn,Decision_Maker_Outreach,,,,,,,,
Month_2,Email,Nurture_Sequence,,,,,,,,
Month_2,WhatsApp,Followup_and_Reminders,,,,,,,,
Month_2,Physical_Print,Field_Distribution,,,,,,,,
Month_2,Events,In_Person_Demo_Day,,,,,,,,
Month_3,Meta_Ads,Conversion_Campaign,,,,,,,,
Month_3,Google_Search,Branded_Competitor_Keywords,,,,,,,,
Month_3,LinkedIn,Partnership_Outreach,,,,,,,,
Month_3,Email,Closing_Sequence,,,,,,,,
Month_3,WhatsApp,Proposal_Followups,,,,,,,,
Month_3,Physical_Print,Focused_Revisit_Drops,,,,,,,,
Month_3,Events,Closing_Workshops,,,,,,,,
